job_id,submitted_at,job_category,priority_level,region,payload_size_mb,executor_memory_mb,replica_count,retry_count,node_instance_type,node_family,node_vcpus,node_memory,node_network,node_price_hourly,node_spot_price_hourly,cpu_utilization_pct,pod_memory_available_pct,active_thread_count,broker_latency_ms,queue_wait_time_ms,disk_io_mbps,network_io_mbps,gc_pause_time_ms,execution_time_sec,job_cost_usd,target_label,node_vcpus_n,node_memory_gib,node_price_usd_hr,node_spot_price_usd_hr,node_network_gbps,node_network_burst,submit_hour,day_of_week,is_peak_hour,available_memory_mb,memory_pressure_ratio,memory_pressure_log,payload_size_mb_log,threads_per_vcpu,memory_per_vcpu_gib,is_bottleneck
JOB-102129,2026-07-21 08:32,MLTraining,Low,us-east,84.63,2048,2,0,m8gn.8xlarge,General purpose,32 vCPUs,128 GiB,100 Gigabit,$2.3280 hourly,$0.6755 hourly,55.1,58.1,15,46.4,33.3,15.78,28.46,4.0,99.8,0.12907,Normal,32,128.0,2.328,0.6755,100.0,0,8,1,0,76152.832,0.0011113178299134035,-6.80220873370683,4.450035689038101,0.46875,4.0,0
JOB-103600,2026-06-03 15:50,DocumentProcessing,Low,eu-central,13.84,4096,4,0,m4.large,General purpose,2 vCPUs,8 GiB,Moderate,$0.1000 hourly,$0.0409 hourly,75.1,33.9,9,69.7,146.8,52.43,32.93,1.0,199.2,0.02213,Bottleneck,2,8.0,0.1,0.0409,1.0,0,15,2,1,2777.0879999999997,0.004983637536873157,-5.301595225488079,2.6973262377392344,4.5,4.0,1
JOB-101552,2026-08-11 14:16,ETL,Low,us-east,21.72,512,3,0,r7gd.4xlarge,Memory optimized,16 vCPUs,128 GiB,Up to 15 Gigabit,$1.0886 hourly,$0.3173 hourly,59.8,61.9,15,27.4,60.9,44.7,29.64,20.2,36.7,0.03329,Normal,16,128.0,1.0886,0.3173,15.0,1,14,1,1,81133.568,0.00026770670309975766,-8.225618568155795,3.1232455938529506,0.9375,8.0,0
JOB-104615,2026-08-03 13:06,DocumentProcessing,Medium,ap-south,52.36,1024,3,0,r8gn.8xlarge,Memory optimized,32 vCPUs,256 GiB,100 Gigabit,$2.9149 hourly,$0.6973 hourly,45.3,34.6,16,52.5,172.4,38.05,46.71,0.2,47.9,0.11635,Normal,32,256.0,2.9149,0.6973,100.0,0,13,0,1,90701.82400000001,0.0005772761526824421,-7.457189805112904,3.977061401607368,0.5,8.0,0
JOB-104497,2026-06-03 06:51,ETL,High,ap-south,11.6,4096,2,0,r6id.2xlarge,Memory optimized,8 vCPUs,64 GiB,Up to 12.5 Gigabit,$0.6048 hourly,$0.6048 hourly,27.5,54.5,10,55.6,170.2,43.85,43.12,21.0,34.2,0.01149,Normal,8,64.0,0.6048,0.6048,12.5,1,6,2,0,35717.12,0.00032477422591743114,-8.032380306527914,2.533696813957432,1.25,8.0,0
JOB-102182,2026-08-15 13:20,MLTraining,High,eu-central,650.34,2048,2,1,m5a.large,General purpose,2 vCPUs,8 GiB,Up to 10 Gigabit,$0.0860 hourly,$0.0356 hourly,38.8,97.0,18,50.2,35.0,19.05,32.4,16.4,16787.8,0.80208,Bottleneck,2,8.0,0.086,0.0356,10.0,1,13,5,1,7946.24,0.08184248147551547,-2.5029588367388667,6.479031779296771,9.0,4.0,1
JOB-101841,2026-06-08 05:18,WebScraping,Critical,eu-central,56.28,2048,5,0,x8g.8xlarge,Memory optimized,32 vCPUs,512 GiB,15 Gigabit,$3.1264 hourly,$0.9982 hourly,71.0,39.2,13,55.4,241.0,36.95,26.4,61.8,48.7,0.21147,Normal,32,512.0,3.1264,0.9982,15.0,0,5,0,0,205520.896,0.00027384076799665175,-8.202963759201099,4.04795152265239,0.40625,16.0,0
JOB-102906,2026-08-13 08:14,WebScraping,Low,us-east,17.25,4096,2,0,r8in.16xlarge,Memory optimized,64 vCPUs,512 GiB,100 Gigabit,$6.6944 hourly,$1.9703 hourly,39.5,53.2,9,35.9,45.0,28.14,23.25,24.0,28.9,0.10748,Normal,64,512.0,6.6944,1.9703,100.0,0,8,3,0,278921.216,6.184542089476621e-05,-9.690872497521099,2.9041650800285006,0.140625,8.0,0
JOB-109906,2026-06-03 05:38,Streaming,Low,us-east,15.89,1024,3,0,m8azn.24xlarge,General purpose,96 vCPUs,384 GiB,200 Gigabit,$9.9101 hourly,$2.8404 hourly,24.5,64.1,14,38.4,87.7,57.55,29.7,42.9,24.9,0.20563,Normal,96,384.0,9.9101,2.8404,200.0,0,5,2,0,252051.45599999998,6.304268284012611e-05,-9.671698555577088,2.826721730819709,0.14583333333333334,4.0,0
JOB-105393,2026-07-11 11:40,WebScraping,Critical,eu-central,30.92,1024,4,0,m5n.2xlarge,General purpose,8 vCPUs,32 GiB,Up to 25 Gigabit,$0.4760 hourly,$0.1954 hourly,45.3,86.7,10,30.0,108.6,59.32,21.29,8.5,85.4,0.04517,Normal,8,32.0,0.476,0.1954,25.0,1,11,5,1,28409.856,0.0010883546893021916,-6.823088182478363,3.463232772581608,1.25,4.0,0
JOB-107679,2026-08-07 14:33,ETL,High,ap-south,121.75,2048,2,3,x8i.large,Memory optimized,2 vCPUs,32 GiB,Up to 12.5 Gigabit,$0.2188 hourly,$0.0579 hourly,49.5,78.9,12,31.7,119.9,60.52,50.05,17.9,1180.2,0.14346,Bottleneck,2,32.0,0.2188,0.0579,12.5,1,14,4,1,25853.952,0.004709144659973067,-5.358248988300217,4.81014976667463,6.0,16.0,1
JOB-104573,2026-08-10 21:28,DocumentProcessing,Low,us-east,45.53,2048,4,0,x2gd.large,Memory optimized,2 vCPUs,32 GiB,Up to 10 Gigabit,$0.1670 hourly,$0.0498 hourly,51.6,50.6,11,15.7,157.9,39.22,45.02,33.3,119.4,0.02216,Normal,2,32.0,0.167,0.0498,10.0,1,21,0,0,16580.608,0.0027459789170578065,-5.897617649357818,3.8400972658565573,5.5,16.0,0
JOB-106665,2026-06-06 05:44,WebScraping,Critical,us-east,45.24,512,3,0,r5ad.large,Memory optimized,2 vCPUs,16 GiB,Up to 10 Gigabit,$0.1310 hourly,$0.0431 hourly,32.8,62.6,7,41.1,33.9,37.37,23.29,9.8,58.8,0.00642,Normal,2,16.0,0.131,0.0431,10.0,1,5,5,0,10256.384,0.0044109112919329075,-5.423673968709276,3.833845224364122,3.5,8.0,0
JOB-107002,2026-07-08 04:42,Streaming,Critical,eu-central,14.14,4096,3,0,r8gd.xlarge,Memory optimized,4 vCPUs,32 GiB,Up to 12.5 Gigabit,$0.2939 hourly,$0.2051 hourly,54.2,53.0,8,88.9,108.8,8.73,30.89,12.2,34.4,0.00843,Normal,4,32.0,0.2939,0.2051,12.5,1,4,2,0,17367.04,0.0008141859522405661,-7.113321775494783,2.717340248009303,2.0,8.0,0
JOB-104338,2026-06-20 10:45,ETL,Critical,us-west,16.66,2048,1,0,c6id.large,Compute optimized,2 vCPUs,4 GiB,Up to 12.5 Gigabit,$0.1008 hourly,$0.0336 hourly,54.8,53.6,11,44.7,59.9,31.55,29.3,71.2,50.7,0.00142,Bottleneck,2,4.0,0.1008,0.0336,12.5,1,10,5,1,2195.456,0.007588400769589552,-4.881134412069312,2.8713021951758138,5.5,2.0,1
JOB-101473,2026-06-15 17:18,ETL,Low,ap-south,93.53,4096,3,0,c7g.xlarge,Compute optimized,4 vCPUs,8 GiB,Up to 12.5 Gigabit,$0.1450 hourly,$0.0540 hourly,62.6,37.0,9,85.7,206.7,9.04,30.87,38.0,598.0,0.07226,Bottleneck,4,8.0,0.145,0.054,12.5,1,17,0,1,3031.04,0.03085739548141892,-3.4783788334889625,4.548917244437293,2.25,2.0,1
JOB-103240,2026-08-15 09:18,MLTraining,Critical,eu-central,50.88,2048,1,0,m8gn.12xlarge,General purpose,48 vCPUs,192 GiB,150 Gigabit,$3.4920 hourly,$0.8437 hourly,90.1,34.8,18,38.8,40.4,37.15,43.5,35.9,67.1,0.06509,Normal,48,192.0,3.492,0.8437,150.0,0,9,5,1,68419.58399999999,0.0007436467313218393,-7.203944459387705,3.948933359448243,0.375,4.0,0
JOB-109242,2026-06-20 21:05,MLTraining,High,us-west,57.37,1024,4,2,r6idn.2xlarge,Memory optimized,8 vCPUs,64 GiB,Up to 40 Gigabit,$0.7816 hourly,$0.3523 hourly,32.1,68.3,12,18.5,67.5,60.46,31.95,2.9,138.6,0.12037,Normal,8,64.0,0.7816,0.3523,40.0,1,21,5,0,44761.087999999996,0.0012816935995836384,-6.659572950933998,4.0668020592157,1.5,8.0,0
JOB-105731,2026-08-02 12:36,DocumentProcessing,Medium,us-east,37.94,2048,5,0,c8gd.large,Compute optimized,2 vCPUs,4 GiB,Up to 12.5 Gigabit,$0.0980 hourly,$0.0367 hourly,94.2,42.2,9,52.9,215.7,64.05,31.57,167.3,150.4,0.02047,Bottleneck,2,4.0,0.098,0.0367,12.5,1,12,6,1,1728.5120000000002,0.021949514958530803,-3.8190102372663506,3.6620219999440535,4.5,2.0,1
JOB-103423,2026-07-10 07:03,WebScraping,Medium,ap-south,168.07,8192,3,1,m9gd.xlarge,General purpose,4 vCPUs,16 GiB,Up to 15 Gigabit,$0.2514 hourly,$0.0750 hourly,49.7,61.5,13,73.7,108.9,48.76,24.83,7.9,1439.2,0.30151,Bottleneck,4,16.0,0.2514,0.075,15.0,1,7,4,0,10076.16,0.01667996538363821,-4.09354695737514,5.130312830348875,3.25,4.0,1
JOB-108050,2026-07-27 16:15,MLTraining,Medium,us-east,78.98,1024,2,0,c7g.large,Compute optimized,2 vCPUs,4 GiB,Up to 12.5 Gigabit,$0.0725 hourly,$0.0235 hourly,21.2,45.5,13,17.7,183.8,67.05,23.88,118.8,621.2,0.02502,Bottleneck,2,4.0,0.0725,0.0235,12.5,1,16,0,1,1863.68,0.042378519917582416,-3.1611136508296536,4.381776603418673,6.5,2.0,1
JOB-105759,2026-06-13 08:57,WebScraping,High,us-west,121.5,512,3,0,m7i-flex.8xlarge,General purpose,32 vCPUs,128 GiB,Up to 12.5 Gigabit,$1.5322 hourly,$0.5756 hourly,65.6,57.9,23,53.6,122.9,21.36,39.0,55.1,88.4,0.11287,Normal,32,128.0,1.5322,0.5756,12.5,1,8,5,0,75890.688,0.0016009869353141193,-6.437135005329325,4.808111029984782,0.71875,4.0,0
JOB-104850,2026-06-17 11:08,Aggregation,Low,us-west,17.99,512,2,3,i4i.12xlarge,Storage optimized,48 vCPUs,384 GiB,28.12 Gigabit,$4.1180 hourly,$1.1225 hourly,43.5,81.9,10,76.4,77.65,67.64,32.25,11.9,23.2,0.05308,Normal,48,384.0,4.118,1.1225,28.12,0,11,2,1,322043.90400000004,5.5861948562143864e-05,-9.792627115095671,2.9439125248241944,0.20833333333333334,8.0,0
